Author_Name
"AARON, HENRY, 1934- ."
"TUCKER, BETTY JEAN FOXHALL, 1931-2018"
"TUCKER, EARL LEE, 1904-1964"
"TUCKER, IRWIN ST. JOHN, 1886-1982"
"TURNER, MAXINE THOMPSON, 1935-2016"
"TURNER, REX ALLWIN, SR., 1912-2001"
"TURNER, THOMAS COLEMAN, 1927-2012"
"TWITTY, WILLIAM BRADLEY, 1920-1994"
"TYLER, ROBERT ENOC, 1869-1939"
"TYNES, MARY ELLA POLLARD, 1884-1975"
"UMBACH, ARNOLD WILLIAM, 1903-1993."
"UNDERWOOD, OSCAR WILDER, 1862-1929"
"UNGERMANN, KENNETH ARMISTEAD, 1916-2008"
"VAN ANTWERP, EMILY STAPLES"
"VAN CLEVE, EMERSON SPROATT, 1907-1979"
"VAN EGMOND, PETER GEORGE, 1937-"
"VANCE, HENRY CLAY, 1891-1963"
"VANSWORD, ROBERT CYPRIAN, 1921-1994"
"VARNER, JEANNETTE JOHNSON, 1909-1992."
"VAUGHAN, GEORGE LESTER, 1891-1981"
"VAUGHAN, SUSAN KIRKMAN, 1861-1944."
"VENABLE, AUSTIN LEWIS, 1902-1980."
"VICKERY, KATHERINE, 1898-1978."
"VINCENT, JOHN HEYL, 1832-1920"
"VINES, CHARLES JERRY, 1937-"
"VINES, HOWELL HUBERT, 1899-1981"
"VINES, WILLIAM MADISON, 1867-1952"
"VINYARD, MRS. HORACE B. (Pseudonym)"
"VOLKER, JOSEPH FRANCES, 1913-1989"
"VOLTZ, JEANNE APPLETON, 1920-2002"
"VOLZ, JAMES THOMAS, 1953-"
"VON BRAUN, WERNHER, 1912-1977"
"VROMAN, MARY ELIZABETH CUNNINGHAM, 1925-1967"
"WADDELL, WILLIAM HENRY, IV, 1908-2007"
"WALDEN, JOHN CLAYTON, 1928-2014"
"WALDRON, ANN WOOD, 1924-2010"
"WALDROP, RUTH WIGGINS, 1911-2010"
"WALKER, ALYCE BILLINGS, 1907-1996."
"WALKER, ANNE KENDRICK, 1880-1966"
"WALKER, ARTHUR LONZO, JR., 1926-2005."
"WALKER, BOB HENRY"
"WALKER, MARGARET"
"WALKER, ROBERT HENRY, JR., 1916-1985"
"WALKER, STELLA HARRIS, 1897-1986."
"WALKER, SUE BRANNAN, 1940-"
"WALL, WILLIAM CARTER, JR. 1930-2009"
"WALLACE, CORNELIA ELLIS SNIVELY, 1939-2009."
"WALLACE, DANIEL, 1959-"
"WALLACE, GEORGE CORLEY, 1919-1998."
"WALLACE, JOHN HENRY, JR., 1874-1922"
"WALLACE, MILDRED WHITE, 1889-1981"
"WALLACE, PAT"
"WALLER, GEORGE PLATT, 1889-1962"
"WALLS, SARA LOUISE, 1917-1997"
"WALTER, EUGENE, 1927-1998"
"WALTERS, JOHN BENNETT, JR., 1912-1979"
"WARBURG, SANDOL STODDARD"
"WARD, BOB"
"WARD, DONALD G., 1911-1984"
"WARD, GLADYS G., 1909-2001"
"WARD, MARY BEHRENDSEN, 1898-1985"
"WARD, ROBERT DAVID, 1929-2005"
"WARD, ROBINSON J., JR., 1934-"
"WARD, WYLEY DONALD, 1934-"
"WARE, MARY, 1828-1915"
"WARNER, RICHARD WRIGHT, JR. 1938-"
"WARREN, HOYT MITCHELL, 1917-2009"
"WARREN, LELLA, 1899-1982"
"WASHINGTON, BOOKER TALIAFERRO, 1859-1915"
"WASSERSTROM, RICHARD ALAN, 1936-"
"WATERMAN, ANNIE LOUISE, 1878-1953"
"WATERS, ANNIE CROOK, 1910-1985"
"WATKINS, LEVI, 1911-1994"
"WATSON, BAMA WATHAN, 1896-1992"
"WATSON, CHARLES SULLIVAN, 1931-2007"
"WATSON, ELBERT L., 1930-2015"
"WATSON, FRED SHELTON, 1915-1991"
"WEATHERBY, HAROLD LEROW, JR., 1934-"
"WEATHERLY THOMAS ELIAS, 1942-"
"WEATHERLY, JOHN MAX, 1921-"
"WEAVER, ANNIE VAUGHAN, 1905-1982"
"WEAVER, DAVID C. 1942-2006"
"WEAVER, HERBERT, 1905-1985"
"WEAVER, LILA QUINTERO, 1956-"
"WEAVER, OLIVER CORNELIUS, 1914-2012."
"WEBER, BERNERD CLARKE, 1910-1996"
"WEEDEN, MARIA HOWARD, 1847-1905"
"WEEKS, GRACE EZELL, 1923-"
"WEIL, ADELE KAHN, 1872-1962"
"WEISHEIT, ELDON, 1933-1998"
"WELCH, JOSEPH EDMUND, 1922-2004"
"WELCH, PAULETTE VIRGINIA, 1945-"
"WELD, JOHN, 1905-2003"
"WELKER, ROBERT LOUIS, 1924-2008"
"WELLS, GLENN L., 1908-1989"
"WELLS, GLENN LAWRENCE, JR., 1941-"
"WELLS, KELLIE, 1962-"
"WELLS, LAWRENCE"
"WELLS, OPAL B., 1912-1996"
"WERTENBAKER, LAEL TUCKER, 1909-1997"
"WEST, HERBERT BUELL, 1916-1990."
"WHEELER, CINDY, 1955-"
"WHEELER, HARRY EDGAR, 1874-1958"
"WHEELER, JESSE HARRISON, JR., 1918-1994"
"WHEELER, JOSEPH, 1836-1906"
"WHITAKER, ARTHUR PRESTON, 1895-1979"
"WHITAKER, WALTER CLAIBORNE, 1867-1938"
"WHITE, DAVID HART, 1922-1977"
"WHITE, HALLIE CANTRELL, 1893-1977."
"WHITE, HENRY EUGENE, JR., 1931-"
"WHITE, MARJORIE LONGNECKER, 1944-"
"WHITE, ROY IRVEN, 1901-1992"
"WHITING, KENNETH R., 1913-1993"
"WHITMAN, WILLIAM TATE, 1909-2003."
"WHITT, LEOVIS COATS, 1917-1996"
"WICKS, CHARLES BEAUMONT, 1907-1986."
"WICKSTROM, JEAN CAROLE, 1942-"
"WIER, ALLEN, 1946-"
"WIER, DARA, 1949-"
"WIGGINS, SARAH VAN VOORHIS WOOLFOLK, 1934-"
"WILDMAN, JOHN HAZARD, 1911-1982"
"WILES, DAVID KIMBALL, 1942-"
"WILKERSON, WALTER THOMAS (THOM), 1938-"
"WILKES, WILLIAM PUGH, 1880-1967"
"WILKINS, BENJAMIN HARRISON, SR., 1856-1941"
"WILLBERN, YORK YOUNG, 1915-2007"
"WILLCUTT, C.C. (CLEM CLEMENCY), 1886-1976"
"WILLIAMS, ANNIE LAURIE, 1861-1932"
"WILLIAMS, BENJAMIN BURFORD, 1923-"
"WILLIAMS, BESSIE LEE BRADFORD, 1887-1966"
"WILLIAMS, BILLY LEE, 1938-"
"WILLIAMS, CHARLES BRAY, 1869-1952"
"WILLIAMS, CLANTON WARE, 1904-1975"
"WILLIAMS, DANIEL T., 1935-"
"WILLIAMS, DOUGLAS FREDERICK, 1927-"
"WILLIAMS, GEORGE KENDRICK, 1930-"
"WILLIAMS, HANK, JR., 1949-"
"WILLIAMS, HERBERT LEE, 1918-2004"
"WILLIAMS, HORACE G. (MRS.)"
"WILLIAMS, HORACE RANDALL, 1951-"
"WILLIAMS, IRENE, 1901-"
"WILLIAMS, JOHN M."
"WILLIAMS, JULIE HEDGEPETH,"
"WILLIAMS, LEE ERSKINE, II, 1946-"
"WILLIAMS, MARGARET JOHNSON, 1902-1991."
"WILLIAMS, MRS. E. O."
"WILLIAMS, PATRICK J. (Pseudonym)"
"WILLIAMS, RALPH CHESTER, 1888-1984"
"WILLIAMS, VERGIL LEWIS, 1935-"
"WILLIAMSON, EDWARD CHARLES, 1916-1997"
"WILLIAMSON, EUGENE LACOSTE, JR., 1930-2006."
"WILLIS, MARY FARLEY, 1901-1997"
"WILLMAN, LEON D., 1923-"
"WILSON, AUGUSTA JANE EVANS, 1835-1909"
"WILSON, EDWARD OSBORNE, 1929-"
"WILSON, ELKIN CALHOUN, 1900-"
"WILSON, EUGENE MURPHY, 1931-"
"WILSON, LONA MAE LUCKY, 1905-1993."
"WILSON, MABEL PONDER, 1907-"
"WILSON, MAMIE LOUIS THOMPSON, 1934-"
"WILSON, THOMAS HENRY, 1943-"
"WILSON, ZEBULON VANCE, 1950-"
"WINDHAM, AMASA BENJAMIN, 1905-1956"
"WINDHAM, KATHRYN TUCKER, 1918-2011"
"WINDHAM, MARGARET FRANCES, 1922-"
"WINGARD, JOSEPH CECIL, 1944-"
"WININGER, DAVID DeLEAL, 1941-"
"WINN, JOSHUA NICHOLAS, III, 1905-1997"
"WINSTON, ALVIN (Pseudonym)"
"WINTER, ADALEE DUCKETT, 1926-"
"WINTZELL, JAMES OLIVER, 1905-1980"
"WITT, EDWIN T., 1920-2003"
"WOLFF, JONATHAN ANSELL (TOBIAS), 1945-"
"WOLFF, TOBIAS"
"WOOD, CLEMENT RICHARDSON, 1888-1950"
"WOOD, MATTIE PEGUES, 1897-1975"
"WOOD, WAYNE, 1954-"
"WOODALL, SALLY LEE, 1913-"
"WOODRUFF, GWENDOLYN ROBERSON, 1914-1998"
"WOODRUFF, HELEN SMITH, 1888-1924"
"WOODRUFF, LORENZO FERGUSON, 1884-1929"
"WOODRUFF, NAN ELIZABETH, 1949-"
"WOOSTER, L.C."
"WORK, MONROE NATHAN, 1866-1945"
"WORRELL, ESTELLE ANSLEY, 1929-"
"WORTHAM, JOHN DAVID, 1941-"
"WORTSMAN, EUGENE, 1921-1983"
"WRIGHT, AMOS JASPER, III, 1952-"
"WRIGHT, CHARLES HOWARD, 1918-2002"
"WRIGHT, HUGH ELLIOT, JR., 1937-"
"WRIGHT, JOHN PEAVEY, 1898-1983"
"WRIGHT, MILDRED SULSER, 1922-2014"
"WRIGHT, STEVE, 1942-"
"WRINKLE, MARGARET, 1963-"
"WUEHRMAN, ARTHUR, H., 1914-2005"
"WYATT, RUFUS R., 1857-1943"
"WYATT, THOMAS EUGENE, 1896-1974"
"WYETH, JOHN ALLEN, 1845-1922"
